"name","address","rankingPosition","rating","description","numberOfReviews","priceLevel","priceRange"
"May Bay","33 rue des Laitieres, 94300 Vincennes France","1","5","Situé à Vincennes, au pied du métro Saint Mandé (L1), Mây Bay - Restaurant vietnamien végan végétarien- vous propose de savoureux plats repris ou réinventés dans la tradition culinaire Asiatique. Le restaurant inscrit quotidiennement à sa carte quatre entrées, plats et fabriqués sur place à base d'ingrédients frais et durement sélectionnés. Nous ajoutons à chaque service une entrée, un plat et un dessert du jour associant ainsi découverte à l’offre de fond soigneusement élaborée Nos plats sont également disponibles en livraison !","253","$$ - $$$","$4 - $30"
"Joyti Restaurant","148, Rue de Vaugirard, 75015 Paris France","105","5","Traditional indian home made kitchen since 1994. One of Best indian restaurant in Paris specialy for tandoori, cheese nans, butter chicken and all traditional indian recipes. Our dream is to serve best traditional indian food and give the taste of indian culture and love to parisians, Apart from that Our cook is experienced for traditional indian dishes. so we can ensure you the best taste of indian rasoi because it is our mission. We are very special for Tandoori. We are established & serving Indian cuisine in heart of Paris from last 25 years. Our Joyti Restaurant is very close to major tourist attractions like Montparnasse Tower, Eiffel Tower, Louvre Museum. The restaurant is right on Main Street where parking for tourist buses is easy. Our beautiful restaurant is having 65+ seats to provide quick table service (not the buffet) to the customers so they can continue their meals without waiting.","586","$$ - $$$","$20 - $40"
"le reciproque","14 rue Ferdinand Flocon, 75018 Paris France","111","5",,"373","$$ - $$$","$21 - $47"
"Pianovins","46 rue Trousseau, 75011 Paris France","92","5",,"214","$$$$","$30 - $64"
"XV Burger","179 rue de Vaugirard, 75015 Paris France","100","5","Let your palate savor real fresh products, this is what this establishment offers you, a guarantee of seriousness and quality that you certainly cannot deny, to test! THE PRESENTATION - Truly highly sought after and elaborate, the presentation of the plates of this restaurant will whet your appetite in seconds, get ready to savor works of art. WELCOME - Warm and very smiling, the welcome offered by the XV Burger restaurant will instantly put you at ease, a real pleasure to share with family or friends, not to be missed!","188","$",
"Mayfair Garden","33 rue de Longchamp Champs eylees trocadero, 75116 Paris France","127","5","A Pakistani Indian Contemporary Restaurant Few Steps From Champs Eylees ;best Butter Chicken And Other Indian Dishes Presented In Modern Way ,,you Can Book By Our Website;","1169","$$ - $$$","$30 - $60"
"Restaurant Biscotte","22 rue Desnouettes, 75015 Paris France","125","5","Attention la fourchette prends des commissions sur les réservations, n'hésitez pas à passer en direct avec vos restaurants.","245","$$ - $$$","$45 - $65"
"La Crete","85 Rue Mouffetard, 75005 Paris France","119","4.5",,"1553","$$ - $$$",
"Cook' n Saj","5 rue Bernard Palissy, 75006 Paris France","115","5","Mediterranean fusion restaurant serving soulful food to unique people. Come and experience our way of hosting.","747","$","$5 - $25"
"Le Gabriel","42 avenue Gabriel Hôtel La Réserve, 75008 Paris France","120","5","Toujours le même mais tellement différent. Quatre menus, une atmosphère informelle et réjouissante, une autre manière de savourer la cuisine du restaurant signature de La Réserve Paris… Le nouveau concept du Gabriel est porté par les valeurs d’authenticité et de simplicité de Michel Reybier et par l’énergie passionnée du chef doublement étoilé Jérôme Banctel. Dans une ambiance décontractée dans l’air du temps, nouveau départ, destination le monde. À travers des menus différents, le chef invite à un voyage immobile au gré de ses explorations culinaires, sans quitter Paris. « Escales », « Virée » et « Périple » reflètent les envies du moment et l’identité profonde du Gabriel : l’attachement aux racines bretonnes du chef, son amour du beau produit ultra-frais, travaillé au moment précis de sa plénitude. Place à l’inspiration de l’instant, avec des menus renouvelés au fil des saisons.","728","$$$$","$138 - $338"
"India StreEAT","105 Rue Monge, 75005 Paris France","118","5",,"266","$$ - $$$","$14 - $20"
"Chez Abda","77 avenue Pierre Brossolette 77 Avenue Pierre Brossolette, 94170, Le Perreux-sur-Marne, Val-de-Marne, Île-de-France, 94170 Le Perreux-sur-Marne France","1","4.5",,"475","$$ - $$$","$30 - $40"
"Can Alegria Paris","73 rue Jean Baptiste Pigalle, 75009 Paris France","66","5","Ancien cabaret où chantait Piaf à ses débuts, le restaurant Can Alegria poursuit l’histoire. Restaurant & bar, l’adresse chante la cuisine méditerranéenne et exotique, sert de bons vins et propose des cocktails originaux. Toujours dans la joie de vivre. Niché au cœur de Pigalle, ce lieu de partage a été pensé par la décoratrice Élodie Ricord. Le cadre chaleureux, combinant matières naturelles et couleur bleue rappelle la méditerranée et permet un voyage inédit à Paris. Le chef Marc-Antoine Colonna propose des plats qui ressemblent au lieu : une cuisine créative, avec une influence espagnole, qui change au rythme des saisons.","1290","$$ - $$$","$20 - $35"
"La Scene Par Stephanie Le Quellec","32 avenue Matignon, 75008 Paris France","108","4.5",,"292","$$$$",
"Tadam Paris","14 rue du Jura, 75013 Paris France","143","5","
          ","226","$$ - $$$","$25 - $50"
"Wine Therapy Bar a Vins","35, Rue de Montholon, 75009 Paris France","91","5",,"361","$$ - $$$","$12 - $20"
"Chez Ajia","4 rue du Roi de Sicile Rez-de Chausee, 75004 Paris France","139","5","A Taiwanese restaurant in Paris, right in the heart of quartier Marais. We present the authentique taiwanese cuisine of quality in the City of Lights.","690","$$ - $$$","$6 - $30"
"Contraste","18 rue d Anjou, 75008 Paris France","103","5","Le restaurant Contraste se situe à Paris 8e, idéalement implanté entre la Concorde et la Madeleine. Les Chefs Kévin de Porre et Erwan Ledru sont à la tête de ce restaurant étoilé Maîtrise des gestes, précision des assaisonnements et des cuissons : une alchimie des saveurs émane des créations de ces jeunes talents. Ils dressent des assiettes lisibles dans le respect des saisons et des territoires et ont réussi à poser une certaine énergie au déjeuner et un frisson d’intimité au dîner. Contraste est une table ouverte où salle, cave à vins et cuisine se mêlent dans une moderne singularité.","245","$$$$","$55 - $150"
"Sacree fleur","50 Rue de Clignancourt, 75018 Paris France","151","4.5","Sacree fleur (ex Marguerite) is a traditional french cuisine restaurant, located just closed to Sacre Coeur in Montmartre. Speciality : the beef
Everything is homemade. We use fresh products","3729","$$ - $$$","$20 - $40"
"Karavaki Au Jardin Du Luxembourg","7 rue Gay Lussac metro Luxembourg, 75005 Paris France","102","5",,"265","$",
"L'Arcane","52 rue Lamarck, 75018 Paris France","137","5",,"392","$$$$",
"Johana's FISH & CHIPS","30 rue Saint Sauveur, 75002 Paris France","135","4.5",,"362","$",
"Le Perraudin","157 rue Saint Jacques, 75005 Paris France","89","5","The Perraudin restaurant is a typical french bistrot established since 1872 in the latin district, minutes from Sorbonne University and Luxembourg gardens. France, the owner, and her team welcome you in a friendly atmosphere and propose you a traditional french cuisine, homemade with fresh products. Fixed priced menus starting 18,50€ at lunch time and 22€ for dinner. A la carte also available. Fairly priced wine list straight from producers.","341","$$ - $$$","$18 - $32"
"Epicure","112 Rue Du Faubourg Saint-Honore Le Bristol Paris, 75008 Paris France","136","5",,"2932","$$$$","$380"
"Le 217 Brasserie Restaurant","217 Avenue Daumesnil, 75012 Paris France","113","4.5",,"576","$","$12 - $32"
"Desvouges","6 rue des Fosses Saint Marcel, 75005 Paris France","126","5",,"361","$$ - $$$","$20 - $32"
"Midi 12","12 rue la Fayette, 75009 Paris France","131","4.5",,"1125","$","$8 - $25"
"Marclee","10 Rue Saulnier, 75009 Paris France","153","4.5",,"569","$$ - $$$","$69"
"Restaurant H","13 rue Jean Beausire, 75004 Paris France","121","5",,"538","$$$$","$35 - $70"
"La Reserve","44 rue Leon Frot, 75011 Paris France","128","4.5","La Réserve des Initiés, c'est le repère des fines-gueules. Dans les assiettes, petites et grandes, des produits tout frais cuisinés sur place et en fonction des saisons, qu'on accompagne d'une sélection de vins pas piquée des hannetons.","302","$$ - $$$","$15 - $40"
"Oinari","34 Rue la Bruyere, 75009 Paris France","122","5","OINARI is an authentic Japanese restaurant, where you can discover the taste of Japan in Paris. We present to you an increasingly wide range of delicious Japanese dishes that are still rare in Paris. Our goal is to be a place of relaxation for all, connecting Japan and France.

----Our specialty, INARIZUSHI----
INARIZUSHI, the rich taste of vinegared rice wrapped in fried tofu, has been popular throughout Japan for hundreds of years.
  OINARI sources its fried tofu directly from Kyoto (OINARI uses fried tofu from Kyoto.).

We offer uniquely styled INARI sushi with colorful toppings such as vegetables, fish and meat. Enjoy INARIZUSHI, which are very popular in America, Australia and other Asian countries.

----Rigorous selection by a sake sommelier-----
Please enjoy the marriage of delicious food and sake.
More than 80 types of sakes, the largest in Paris","159","$$ - $$$","$16 - $100"
"Le Petit Pont","40 avenue Jean D Estienne D Orves, 94340 Joinville-le-Pont France","1","5",,"969","$$ - $$$",
"Himalaya Restaurant","22 rue de la Gaite, 75014 Paris France","104","4","Himalaya Restuarant Gaite in the heart of Paris traditional Indian Pakistani gastronomy. We have the authentic taste of spices and curry. Quality service of Indian and Pakistani cuisine since 1983 in Paris. We offer : - Delivery at home, office - Reservation event (Birthday, Wedding dinner, Business lunch, Meetings) - Home delivery (Paris 05, Paris 06, Paris 07, Paris 13, Paris 14, Paris 15)","407","$$ - $$$","$35"
"Gegeor","1 rue Moncey, 75009 Paris France","93","5","GEGEOR is a Wine Cellar and a Restaurant in the same time. Wine cellar : the primary profession of the establishment is to advise and sell wine. 250 references of wines and spirits, only wines of independent wine maker and around 50% of organic, biodynamic or natural wines. Restaurant: family dishes at most cooked on site, composed of ingredients from the ""terroir"". Here the cooking is made to put the wine in value.","267","$$ - $$$","$6 - $27"
"Le Florimond","19 avenue de la Motte Picquet, 75007 Paris France","123","4.5",,"1166","$$ - $$$","$1"
"L'Empreinte","5 rue Mouton Duvernet, 75014 Paris France","124","4.5","The EMPREINTE exists since October 2016, we have been on the Michelin guide for 4 years, thanks to our customers our restaurant has become a must in Paris 14th. The two partners Jean François (in the dining room) and Noel (chef in the kitchen) loved to cook only with fresh products, with recipes from our grandparents. We loved to preserve the taste and authenticity of French cooking. Long live the good cooking of our beautiful FRANCE. The pleasure of seeing you.","450","$$ - $$$","$29 - $49"
"L'Atelier Saisonnier Paris 9","58 rue la Fayette, 75009 Paris France","130","4.5","L'atelier saisonnier est le restaurant et bar spécialiste des planches charcuteries fromages à Paris avec des produits du terroir uniquement. Une carte des vins et bières artisanales (en pression) accompagnent nos planches Aussi réputé dans la capitale pour son Brunch à volonté ! Au programme un buffet 100% Maison avec que des produits cuisiné le matin sur place et de quoi réconforter vos soirées de la veille","851","$$ - $$$","$20 - $32"
"Frog & Rosbif","116 rue Saint Denis, 75002 Paris France","146","4.5","THE FROG & ROSBIF is just around the corner from the rue Montorgueil, the oldest market street in Paris. This is a beautiful English pub with a busy little brewery in the cellar. It is a popular & famous live sports venue.","660","$$ - $$$","$11 - $17"
"Akabeko Restaurant","40 rue de l Universite, 75007 Paris France","7","5","Chef Yasuo Nanaumi vous invite pour une expérience culinaire inoubliable, dans un restaurant fusion français et japonais en plein cœur du 7e arrondissement de Paris. Composé de deux étages, le restaurant propose une ambiance chic, moderne et chaleureuse. Au rez-de-chaussé un long comptoir et au 1er une salle cosy pour vous accueillir.","75","$$$$","$69 - $139"
"Frog Hop House","10 rue des Capucines, 75002 Paris France","163","4.5","Frog Hop House is situated between the glamorous shopping of the Vendome and the bustling warren of streets that fringe the world famous Paris Opera. Frog Hop House specialises in a constantly changing range of artisan craft FrogBeer, genuinely good burgers and American BBQ & soul food.","697","$$ - $$$","$10 - $20"
